source,target,weight
F_70-79_C,M_50-59_D,570.5438936789278
F_70-79_C,M_30-39_E,2508.1189140571996
F_70-79_C,F_30-39_A,180.28050926662146
F_70-79_C,M_70-79_D,186.1361911392934
F_70-79_C,M_80-plus_C,227.2545892869753
F_70-79_C,F_50-59_C,1857.4650767168614
F_70-79_C,M_25-29_A,101.42947976692521
F_70-79_C,M_70-79_E,476.54093188276124
F_70-79_C,F_80-plus_E,165.95752260553024
F_70-79_C,F_30-39_C,3300.566311886771
F_70-79_C,F_80-plus_D,64.86642162906817
F_70-79_C,M_50-59_B,430.9618515850819
F_70-79_C,M_18-24_C,2829.707486204942
F_70-79_C,F_25-29_E,1337.2652531089386
F_70-79_C,F_80-plus_C,224.27323729182027
F_70-79_C,M_30-39_C,3389.359218291896
F_70-79_C,M_40-49_E,2117.2234308454977
F_70-79_C,F_40-49_D,807.0290843232822
F_70-79_C,M_60-69_A,57.05391618017994
F_70-79_C,F_80-plus_B,49.00937244594503
F_70-79_C,F_80-plus_A,12.27996057129265
F_70-79_C,F_18-24_E,1995.181741869168
F_70-79_C,M_18-24_B,617.81285575059
F_70-79_C,M_80-plus_B,49.639278514738265
F_70-79_C,M_70-79_A,35.185923388927215
F_70-79_C,M_70-79_B,140.61655228530586
F_70-79_C,F_30-39_D,953.9929919739453
F_70-79_C,M_18-24_A,154.4532139371001
F_70-79_C,M_40-49_C,2861.158367080146
F_70-79_C,M_25-29_D,536.8253497254678
F_70-79_C,F_40-49_C,2792.133458615548
F_70-79_C,F_70-79_E,473.0594109728612
F_70-79_C,M_40-49_A,156.17716091915267
F_70-79_C,F_70-79_B,139.62041039656538
F_70-79_C,F_30-39_B,720.7944032685651
F_70-79_C,F_25-29_D,522.330240382047
F_70-79_C,M_60-69_E,772.975306939932
F_70-79_C,F_40-49_E,2066.129884649938
F_70-79_C,M_30-39_D,979.6656725464896
F_70-79_C,F_60-69_B,224.20060471189163
F_70-79_C,M_40-49_D,826.9880698121027
F_70-79_C,F_18-24_B,588.6719255851112
F_70-79_C,M_60-69_D,301.9235956314534
F_70-79_C,M_50-59_A,107.76486597694897
F_70-79_C,M_18-24_D,817.7021294431324
F_60-69_A,M_25-29_C,174.81035392415
F_60-69_A,F_60-69_D,28.248212855964603
F_60-69_A,M_40-49_B,58.88081153717251
F_60-69_A,M_80-plus_A,1.1693584580954899
F_60-69_A,M_60-69_B,21.684818422993906
F_60-69_A,F_60-69_E,72.3258491025834
F_60-69_A,F_40-49_A,14.3242073878493
F_60-69_A,M_50-59_E,136.2666959497393
F_60-69_A,F_70-79_D,16.21129665254422
F_60-69_A,F_25-29_B,37.09129206562589
F_60-69_A,F_70-79_A,3.0627215834391692
F_60-69_A,F_30-39_E,229.01959264633226
F_60-69_A,M_80-plus_E,15.826591787107919
F_60-69_A,M_25-29_B,38.18986684790112
F_60-69_A,F_25-29_A,9.272823016370833
F_60-69_A,M_60-69_C,99.2587044236246
F_60-69_A,F_50-59_A,9.446125824218429
F_60-69_A,F_25-29_C,169.79027447826894
F_60-69_A,F_18-24_C,252.31786831548763
